中国成人2型糖尿病胰岛素促泌剂应用的专家共识	O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O
二甲双胍与α-糖苷酶抑制剂联合可兼顾FPG和PPG	B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-Test_items;I-Test_items;E-Test_items;O;B-Test_items;I-Test_items;E-Test_items
超重的T2DM患者在二甲双胍疗效不佳时加用阿卡波糖能更好控制HbA1cFPG和体重	B-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_items;I-Test_items;E-Test_items;O;O;O
二甲双胍和磺脲类联用的降糖疗效优于二甲双胍和阿卡波糖联用(级)	B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O
这两种药物都有一定的胃肠道不良反应联合应用有可能增加胃肠不适	O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;I-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;I-ADE;E-ADE
10.二甲双胍联合DPP-4抑制剂的疗效	O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O
一项随机双盲对照研究显示二甲双胍单药控制不佳的T2DM患者加用DPP-4抑制剂可有效改善血糖水平且耐受性良好(I级)	O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O
中国多中心前瞻性随机对照研究显示1000mg二甲双胍联合维格列汀与二甲双胍2000mg单药疗效和安全性相当	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;O;O;O
在新诊断T2DM患者中1700mg/d二甲双胍单药治疗的降糖疗效非劣于1700mg二甲双胍联合西格列汀治疗(级)	O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O
建议遵循中国2型糖尿病防治指南的治疗原则新诊断T2DM患者首选二甲双胍可耐受的情况下加至最佳有效剂量(2000mg/d)	O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O
不达标的患者可以联合DPP-4抑制剂	O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug
11.二甲双胍联合GLP-1受体激动剂的疗效	O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O
目前中国临床应用的GLP-1受体激动剂主要包括利拉鲁肽和艾塞那肽	O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug
在我国T2DM人群中开展的随机分组对照性研究显示利拉鲁肽联合二甲双胍与格列美脲联合二甲双胍降糖疗效相当前者使体重和血压降低低血糖发生风险减少	O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;B-Test;E-Test;B-Test_Value;E-Test_Value;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O
患者对利拉鲁肽联合二甲双胍治疗所导致的不良反应的耐受性更差	O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
12.二甲双胍联合胰岛素的疗效	O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;E-Drug;O;O;O
与胰岛素单药治疗相比二甲双胍联合胰岛素可进一步降低HbA1c减少胰岛素用量体重增加和低血糖风险联合使用还可能与心血管疾病和肿瘤风险下降相关(I级)	O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;B-Drug;I-Drug;E-Drug;O;O;B-ADE;I-ADE;I-ADE;E-ADE;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O
HOME研究是一项前瞻性随机双盲安慰剂对照研究该研究对接受胰岛素治疗的T2DM患者随访4.3年	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Duration;I-Duration;I-Duration;E-Duration
结果显示较单纯胰岛素治疗二甲双胍联合胰岛素治疗能提高降糖疗效降低胰岛素用量(胰岛素日剂量平均减少19.63U)且体重增加更少	O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;B-ADE;I-ADE;I-ADE;E-ADE;O;O
对该研究的次级终点的分析显示二甲双胍的治疗与大血管事件相对风险降低40%相关(I级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
一项随机对照研究纳入96例磺脲类继发性失效的T2DM患者治疗1年后睡前胰岛素二甲双胍组体重无明显变化而其他组均有所增加	O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
且与其他组相比睡前胰岛素二甲双胍组HbA1c降幅最大每日胰岛素用量最少低血糖的发生率最低	O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O
一项回顾性队列研究采用倾向匹配法分组分析发现与胰岛素单药治疗组相比二甲双胍联合胰素治疗组的死亡率降低	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;E-Drug;O;O;O;O;O;O;O;O;O
对于有明显高血糖临床症状的新诊断T2DM患者可实施短期胰岛素治疗	O;O;O;B-Level;E-Level;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O
一项中国的研究将经短期胰岛素强化治疗后的T2DM患者随机分为甘精胰岛素治疗组和以二甲双胍为基础的口服降糖药治疗组治疗24周的结果显示两组降糖疗效相当且以二甲双胍为基础的口服降糖药治疗方案简单易行依从性好较好地控制体重成本-效益比更佳	O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Method;E-Method;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Method;E-Method;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
因此建议接受胰岛素短期治疗的新诊断T2DM患者可在高血糖症状得到改善后可考虑改成以二甲双胍为起始的口服降糖药物治疗方案	O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Method;E-Method;O;O;O;O;O;O;O;O
14.二甲双胍是否应尽早足量使用以维持更长的达标时间	O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
500~2000mg/d剂量二甲双胍疗效呈现剂量依赖效应且相比其他降糖药物二甲双胍具有更好的成本-效益比	B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O
ADOPT研究显示在新诊断的T2DM患者中二甲双胍(2000mg/d)单药治疗可以在4年内使受试者平均HbA1c水平维持在7%以下(级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O
在一项长达104周的对照临床研究中与西格列汀(100mg/d)单药治疗相比二甲双胍(2000mg/d)单药治疗使受试者平均HbA1c水平维持在7%以下的时间增加了约24周(I级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;B-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O;O;O;O
因此在患者可以耐受的情况下使用单药最佳剂量(2000mg/d)的二甲双胍治疗不但可使血糖控制尽早达标且可使血糖得到更长时间的良好控制	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O;O;O;O
如果出现可以耐受的不良反应时可适当减量	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
如果不能耐受建议尽早更换为其他降糖药	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
15.二甲双胍可否用于胰岛素治疗的T1DM患者	O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O
T1DM患者可在胰岛素治疗基础上加用二甲双胍尤其适用于胰岛素剂量较大体重增加明显的患者	B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;B-ADE;I-ADE;I-ADE;I-ADE;I-ADE;E-ADE;O;O;O
但DKA糖尿病高血糖高渗综合征(HHS)糖尿病乳酸酸中毒患者禁用	O;B-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O
对于单用胰岛素治疗血糖控制不佳的患者如果联合二甲双胍可降低胰岛素用量10%减少使用胰岛素所带来的体重过度增加	O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;B-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;B-ADE;I-ADE;I-ADE;I-ADE;I-ADE;E-ADE
16.二甲双胍的减重效果	O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O
二甲双胍具有减轻体重的作用其减轻体重的机制可能包括抑制食欲减少热量摄入	B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
改善高胰岛素血症降低基础胰岛和负荷后胰岛素水平	O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
增加瘦素敏感性	O;O;O;O;O;O;O
一项前瞻性开放标签研究表明新诊断T2DM患者经二甲双胍单药治疗16周正常(BMI18.5~23.9kg/m2)超重(BMI24.0~27.9kg/m2)肥胖(BMI≥28.0kg/m2)患者的体重分别下降(可能包含部分安慰剂效应)1.472.812.92kg患者不同基线BMI水平不会造成二甲双胍单药对血糖控制的差异(级)	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-Test_items;E-Test_items;O;O;O;O;O;O;O;O
在中国T2DM人群中开展的另外一项研究结果提示接受二甲双胍(最大剂量1500mg/d)治疗48周后体重降低1.88kg(可能包含部分安慰剂效应)	O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
磺脲类格列酮类和胰岛素治疗伴有体重增加联用二甲双胍可减轻上述药物对体重增加的影响	B-Drug;I-Drug;E-Drug;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;E-Drug;O;O;O;O;B-ADE;I-ADE;I-ADE;E-ADE;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;B-ADE;I-ADE;I-ADE;E-ADE;O;O;O
HOME研究显示与单用胰岛素组相比二甲双胍联合胰岛素治疗组体重少增加2.28~3.85kg(I级)	O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
由于不同研究的入组人群及试验方法存在一定的差异其结果可能有所不同	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
荟萃分析显示体重降幅最大的常用口服降糖药为二甲双胍可使体重降低1.1kg	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Method;E-Method;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O
1.心力衰竭是否是二甲双胍的绝对禁忌证	O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O
但回顾性研究显示二甲双胍本身不会导致心力衰竭也不会对心力衰竭患者造成不良影响	O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O
而且多项研究显示二甲双胍的治疗可能与糖尿病患者心力衰竭和死亡发生风险的减少有关可能与伴心力衰竭的糖尿病患者的存活率提高相关	O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O
2016年ADA糖尿病指南指出如果肾功能正常二甲双胍可用于病情稳定的CHF患者	O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O
欧洲版二甲双胍说明书中已删除慢性心力衰竭的禁忌证	O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O
((2013年IDF老年糖尿病指南和中国老糖尿病诊疗措施专家共识都推荐二甲双胍为一线首选用药并没有限制二甲双胍的具体使用年龄	O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O
老年糖尿病患者合理应用二甲双胍可以达到良好的降糖效果且较少的低血糖风险对老年患者也有一定益处但需要定期监测肾功能(3~6个月检查1次)	O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-ADE;I-ADE;E-ADE;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test;I-Test;E-Test;O;O;O;O;O;O;O;O;O;O;O
80岁以上患者eGFR<45ml/(min·1.73m2)除外如掌握好适应证从小剂量起始在合理监测条件下应用二甲双胍仍然可取得良好效果	O;O;O;O;O;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O
因此年龄并非二甲双胍治疗的禁忌但需要定期监测肾功能	O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;B-Test;I-Test;E-Test
如eGFR<45ml/(min·1.73m2)则不能使用	O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O
适合我国CKD患者的eGFR评估公式为	O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;B-Test_items;I-Test_items;I-Test_items;E-Test_items;O;O;O;O;O
3.二甲双胍可否用于儿童和青少年糖尿病患者	O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O
二甲双胍可用于10岁及以上的T2DM的儿童或青少年且最高剂量不超过2000mg/d不推荐用于10岁以下的患儿	B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;I-Amount;E-Amount;O;O;O;O;O;O;O;O;O;O;O;O;O
虽然国际多个学术组织推荐二甲双胍可用于GDM患者但基于目前国内证据缺乏暂不推荐(V级)	O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
二甲双胍在FDA妊娠期用药分级中为B类药物	B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O
2013年糖尿病和妊娠	O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O
美国内分泌学会临床实践指南建议在妊娠前3个月内医学营养治疗血糖控制不佳以及拒绝和不适合使用胰岛素和格列本脲的GDM患者可使用二甲双胍治疗	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Test_items;E-Test_items;B-Test_Value;I-Test_Value;I-Test_Value;E-Test_Value;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O
2015年NICE妊娠糖尿病及其并发症的管理指南建议饮食和运动1~2周血糖未达标的GDM患者可使用二甲双胍治疗	O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;B-Treatment;E-Treatment;O;B-Treatment;E-Treatment;O;O;O;O;B-Test_items;E-Test_items;B-Test_Value;I-Test_Value;E-Test_Value;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O
但我国药监部门尚未批准二甲双胍用于妊娠妇女	O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O
对于有糖尿病病史的产妇二甲双胍干预可以有效减缓10年随访期中糖尿病的发展	O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O
二甲双胍可降低PCOS患者妊娠早期的流产率和GDM的发生率在控制孕妇体重和治疗IR方面有优势	B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;B-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Pathogenesis;E-Pathogenesis;O;O;O;O;O
在有效控制血糖的前提下二甲双胍较胰岛素更有益于产妇健康	O;O;O;O;O;B-Test_items;E-Test_items;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O
一项前瞻性随机对照临床试验结果显示二甲双胍或二甲双胍联用胰岛素治疗GDM在体重先兆子痫新生儿死亡率等方面优于胰岛素单药治疗	O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;B-Drug;I-Drug;E-Drug;O;O;B-Disease;I-Disease;E-Disease;O;O;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;O;O;O;O;O;O;O;B-Drug;I-Drug;E-Drug;O;O;O;O
5.肝功能不全的T2DM患者使用二甲双胍应注意的问题	O;O;B-Disease;I-Disease;I-Disease;I-Disease;E-Disease;O;B-Disease;I-Disease;I-Disease;E-Disease;O;O;O;O;B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O
二甲双胍不经过肝脏代谢无肝脏毒性	B-Drug;I-Drug;I-Drug;E-Drug;O;O;O;O;O;O;O;O;O;O;O;O
